keys,ja,en
manual.ai.terms.air_target.desc,対空が得意な駒（対地が対空以下の駒）が攻撃できる飛行の敵。対空が得意でない駒に空敵はいない＝対地70・対空10 の駒を空へ向かわせないための線引き。,"A flying enemy that can be attacked by a unit good against air — one whose Atk vs Air is at least its Atk vs Ground. Units that are not good against air have no air targets, which keeps something like 70 ground against 10 air from being sent skyward."
manual.ai.terms.blocker.term,経路上の敵,Blocker
manual.ai.terms.blocker.desc,行き先への道を塞いでいる敵。撃てる敵をまとめてどけたと仮定して、移動距離が縮むか、通れなかった迂回の道が通れるようになるかで判定する。1体ずつ試さないのは、通路を2体で塞がれているとどちらか片方をどけても道が開かないため。,"An enemy standing in the way. It is judged by imagining every shootable enemy removed at once and asking whether the Move Distance shortens or a previously impossible detour becomes possible. They are not tested one at a time, because a corridor held by two units does not open when only one is taken away."
manual.ai.terms.lethal.term,仕留められる敵,Lethal Target
manual.ai.terms.lethal.desc,その攻撃で兵数が0になる敵。いまの位置から撃った結果で数えるので、包囲・支援・地形が乗ったあとの損害で決まる＝味方の並びが変われば入れ替わる。攻撃は同時解決なので、倒しても反撃は受ける。,"An enemy that the attack would reduce to zero strength. It is counted from shooting where the unit currently stands, so Encircled, Support and Terrain are already in the figure — change your formation and the answer changes. Combat is simultaneous, so the kill still draws a counterattack."
manual.ai.terms.gain.term,戦果,Damage
manual.ai.terms.gain.desc,その攻撃で相手から減らせる兵数。兵数の上限はどの駒も同じなので割合では測らない。,How many soldiers the attack would take off the target. Maximum strength is the same for every unit so it is counted outright rather than as a share.
manual.ai.terms.encircle_ok.term,包囲可能,Can Encircle
manual.ai.terms.encircle_ok.desc,対象にいま隣接している味方と、まだ動いていない味方でこのターン隣へ寄れる駒を合わせて、包囲が成立する数に届くこと。行動する駒自身も数に入る。すでに囲まれている相手は必ず当てはまる。,"That the allies already adjacent to the target, plus those yet to act that could reach a neighboring hex this turn, add up to the number needed for Encircled. The acting unit counts itself. Anything already surrounded always qualifies."
manual.ai.terms.loss.term,損耗,Attrition
manual.ai.terms.loss.desc,失った兵の割合。残りの数ではなく割合で見るので、満員の数が違う駒どうしでも並べられる。,"The share of strength lost. It is read as a proportion rather than a remainder, so units with different maximums can be compared."
manual.ai.terms.ride.term,便乗,Hitching a Ride
manual.ai.terms.ride.desc,輸送に乗って目的地まで運ばれること。歩いた場合と乗った場合で到着までのターン数を比べ、乗ったほうが早いときだけ乗る。同じなら乗らない。自分では通れない地形を輸送が越えられるなら、歩きは測れないので常に乗るほうが早くなる。,"Boarding a transport to be carried to the destination. The turns it would take on foot are compared with the turns it would take aboard, and the unit boards only when the ride is faster; a tie means walking. When the transport can cross terrain the unit cannot, walking is not measurable at all and the ride always wins."
manual.ai.terms.params,部隊のパラメーター,Squad Parameters
manual.ai.terms.sight.term,索敵範囲,Sight
manual.ai.terms.sight.desc,行動開始条件に使う視線距離。ステージが部隊ごとに決める。同じ特性でも部隊によって値が違うことがある。,"The sight distance used for activation, set per squad by the stage. Two squads on the same trait can carry different values."
manual.ai.terms.retreat.term,撤退閾値,Retreat Threshold
manual.ai.terms.retreat.desc,損耗の割合。これ以上に削られると退きに転じる。逃走では行き先が敵の拠点から自分の陣営の拠点へ切り替わり、撤退では拠点へ退く。,"A share of attrition. Past it the unit turns to withdrawing: under Flee the destination switches from an enemy base to one of its own, and under Withdraw it pulls back to a base."
manual.ai.terms.stack_cond.term,stack 条件,Stack Condition
manual.ai.terms.stack_cond.desc,同じ相手にスキルを重ねすぎないための条件。強化と弱体は「効いている本数が上限より少ないこと」、解除は逆に「刺さっている弱体が閾値以上あること」を見る。上限が無ければ強化と弱体は常に成立する。,"What keeps the enemy from piling skills onto one target forever. For buffs and debuffs it asks whether fewer than the limit are already in place; for cleansing it asks the opposite — whether at least the threshold number of debuffs are stuck on. With no limit set, buffs and debuffs always qualify."
manual.ai.traits.title,特性ごとの行動,Traits
manual.ai.charge.title,突撃,Charge
manual.ai.charge.desc,前へ出て積極的に攻撃する。手番をためらいなく使う。読み合いの要素が無く、必ず前へ来ると分かっている特性なので、地形で受ける・包囲で潰すといった基本の練習になる。,"Pushes forward and attacks without hesitation. There is nothing to read here — it will always come at you — which makes it the trait to practice the basics against: receiving on good terrain and crushing with an encirclement."
manual.ai.charge.start,行動開始条件,Activation
manual.ai.charge.start1,常時（最初から動いている）,Always — active from the first turn.
manual.ai.charge.rules,行動ルール,Action Rules
manual.ai.charge.rule1.cond,占領兵で、移動範囲に自分の陣営以外の拠点がある,It can capture and there is a base not its own in Move Range
manual.ai.charge.rule1.act,盤上距離が最小の拠点へ移動して占領する,Move to the nearest base by Hex Distance and capture it
manual.ai.charge.rule2.cond,スキルを持っていて、スキル射程内に stack 条件を満たす対象がいる,It has a skill and a target meeting the stack condition is in range
manual.ai.charge.rule2.act,盤上距離が最小の対象にスキルを掛ける,Cast on the nearest such target by Hex Distance
manual.ai.charge.rule3.cond,間接攻撃できる駒で、移動範囲のどこかから攻撃できる敵がいる,It can attack at range and some enemy is attackable from somewhere in Move Range
manual.ai.charge.rule3.act,空敵を優先し、その中で盤上距離が最小の敵へ最大間合いを取る,"Prefer air targets, then take Max Standoff against the nearest by Hex Distance"
manual.ai.charge.rule4.cond,攻撃射程内に敵がいる,An enemy is within attack range
manual.ai.charge.rule4.act,空敵を優先し、次に反撃されない敵を優先し、その中で盤上距離が最小の敵を攻撃する,"Prefer air targets, then those that cannot counter, then attack the nearest by Hex Distance"
manual.ai.charge.rule5.cond,移動距離が測れる敵がいる,Some enemy has a measurable Move Distance
manual.ai.charge.rule5.act,空敵を優先し、その中で移動距離が最小の敵へ最大前進する,"Prefer air targets, then advance fully toward the nearest by Move Distance"
manual.ai.charge.rule6.cond,地形距離が測れる敵がいる,Some enemy has a measurable Terrain Distance
manual.ai.charge.rule6.act,地形距離が最小の敵へ見込前進する,Make a projected advance toward the nearest by Terrain Distance
manual.ai.charge.rule7.cond,盤上に攻撃できる敵がいる,There is some attackable enemy on the board
manual.ai.charge.rule7.act,盤上距離が最小の敵へ直線寄せする,Make a straight approach toward the nearest by Hex Distance
manual.ai.charge.note1,3行目は撃つ行ではない。移動と攻撃は別の手なので、動いたあとにもう一度表を上から当てて、同じ手番のうちに4行目が撃つ。動く先が今いるマスなら移動は起きず、そのまま4行目へ落ちる。,"Rule 3 does not shoot. Moving and attacking are separate acts, so after it moves the table is read again and rule 4 fires in the same turn. If the destination is the hex it already occupies, no move happens and it falls straight through to rule 4."
manual.ai.charge.note2,3〜5行目が空敵を先に見るのは、対空が得意な駒だけが飛行に触れられるため。この優先が無いと、対空を持つ駒が手近な地上の駒を殴り続け、飛行が事実上の安全地帯になる。,"Rules 3 to 5 look at air targets first because only units good against air can touch fliers at all. Without that priority they would keep hitting whatever ground unit is nearest, and flying would become a safe haven."
manual.ai.ambush.title,待ち伏せ,Ambush
manual.ai.ambush.desc,敵が索敵に入るまで動かない。動き出したあとは突撃と同じ。戦う順番をこちらが選べるようになり、一度に何部隊を起こすかが判断になる。部屋ごとに敵を釣り出すダンジョン戦の骨格。,"Sits still until something enters its sight, then behaves exactly like Charge. It hands you the choice of what to fight and when, turning the number of squads you wake at once into a real decision. It is the backbone of clearing a dungeon room by room."
manual.ai.ambush.start,行動開始条件,Activation
manual.ai.ambush.start1,視線距離が索敵範囲以内に敵がいる／部隊の誰かが動き出している,An enemy is within Sight by Sight Distance / a squadmate has already woken
manual.ai.ambush.rules,行動ルール,Action Rules
manual.ai.ambush.rule1.cond,占領兵で、移動範囲に自分の陣営以外の拠点がある,It can capture and there is a base not its own in Move Range
manual.ai.ambush.rule1.act,盤上距離が最小の拠点へ移動して占領する,Move to the nearest base by Hex Distance and capture it
manual.ai.ambush.rule2.cond,スキルを持っていて、スキル射程内に stack 条件を満たす対象がいる,It has a skill and a target meeting the stack condition is in range
manual.ai.ambush.rule2.act,盤上距離が最小の対象にスキルを掛ける,Cast on the nearest such target by Hex Distance
manual.ai.ambush.rule3.cond,間接攻撃できる駒で、移動範囲のどこかから攻撃できる敵がいる,It can attack at range and some enemy is attackable from somewhere in Move Range
manual.ai.ambush.rule3.act,空敵を優先し、その中で盤上距離が最小の敵へ最大間合いを取る,"Prefer air targets, then take Max Standoff against the nearest by Hex Distance"
manual.ai.ambush.rule4.cond,攻撃射程内に敵がいる,An enemy is within attack range
manual.ai.ambush.rule4.act,空敵を優先し、次に反撃されない敵を優先し、その中で盤上距離が最小の敵を攻撃する,"Prefer air targets, then those that cannot counter, then attack the nearest by Hex Distance"
manual.ai.ambush.rule5.cond,移動距離が測れる敵がいる,Some enemy has a measurable Move Distance
manual.ai.ambush.rule5.act,空敵を優先し、その中で移動距離が最小の敵へ最大前進する,"Prefer air targets, then advance fully toward the nearest by Move Distance"
manual.ai.ambush.rule6.cond,地形距離が測れる敵がいる,Some enemy has a measurable Terrain Distance
manual.ai.ambush.rule6.act,地形距離が最小の敵へ見込前進する,Make a projected advance toward the nearest by Terrain Distance
manual.ai.ambush.rule7.cond,盤上に攻撃できる敵がいる,There is some attackable enemy on the board
manual.ai.ambush.rule7.act,盤上距離が最小の敵へ直線寄せする,Make a straight approach toward the nearest by Hex Distance
manual.ai.ambush.note1,行はすべて突撃と同じ。違うのは動き出す条件だけになる。,Every rule is identical to Charge. Only the activation differs.
manual.ai.raid.title,拠点攻略,Raid
manual.ai.raid.desc,敵より拠点へ向かう。護衛も一緒に動き、着いた先で戦う。目の前の敵を無視して素通りしていくので、守りに戻るか攻め続けるかを選ばされる＝こちらの手番に時間制限がかかる。,"Heads for a base rather than for you, escorts moving with it and fighting where they arrive. It walks straight past whatever is in front of it, forcing you to choose between turning back to defend and pressing on — which puts your own turns on a clock."
manual.ai.raid.start,行動開始条件,Activation
manual.ai.raid.start1,常時（最初から動いている）,Always — active from the first turn.
manual.ai.raid.rules,行動ルール,Action Rules
manual.ai.raid.rule1.cond,占領兵で、移動範囲に自分の陣営以外の拠点がある,It can capture and there is a base not its own in Move Range
manual.ai.raid.rule1.act,盤上距離が最小の拠点へ移動して占領する,Move to the nearest base by Hex Distance and capture it
manual.ai.raid.rule2.cond,スキルを持っていて、スキル射程内に stack 条件を満たす対象がいる,It has a skill and a target meeting the stack condition is in range
manual.ai.raid.rule2.act,盤上距離が最小の対象にスキルを掛ける,Cast on the nearest such target by Hex Distance
manual.ai.raid.rule3.cond,間接攻撃できる駒で、まだ撃っておらず、移動範囲のどこかから経路上の敵を撃てる,"It can attack at range, has not shot yet, and a blocker is attackable from somewhere in Move Range"
manual.ai.raid.rule3.act,地形距離が最小のその敵を撃てるマスのうち、拠点へ最も近いマスへ動く,"Of the hexes that can hit that blocker — nearest by Terrain Distance — move to the one closest to the base"
manual.ai.raid.rule4.cond,攻撃射程内に、仕留められる経路上の空敵がいる,A lethal air-target blocker is within attack range
manual.ai.raid.rule4.act,地形距離が最小のその敵を攻撃する,Attack the nearest such enemy by Terrain Distance
manual.ai.raid.rule5.cond,攻撃射程内に経路上の空敵がいる,An air-target blocker is within attack range
manual.ai.raid.rule5.act,地形距離が最小のその敵を攻撃する,Attack the nearest such enemy by Terrain Distance
manual.ai.raid.rule6.cond,攻撃射程内に、仕留められる経路上の敵がいる,A lethal blocker is within attack range
manual.ai.raid.rule6.act,地形距離が最小のその敵を攻撃する,Attack the nearest such enemy by Terrain Distance
manual.ai.raid.rule7.cond,攻撃射程内に経路上の敵がいる,A blocker is within attack range
manual.ai.raid.rule7.act,地形距離が最小のその敵を攻撃する,Attack the nearest such enemy by Terrain Distance
manual.ai.raid.rule8.cond,占領兵の乗員がいて、移動範囲に「その乗員を自分の陣営以外の拠点hexへ降ろせるマス」がある,It carries a capturing passenger and Move Range holds a hex from which that passenger can be unloaded onto a base hex not its own
manual.ai.raid.rule8.act,そのマスへ動いて降ろす,Move to that hex and unload
manual.ai.raid.rule9.cond,乗員がいて、移動範囲に「拠点に隣接する降車先へ降ろせるマス」がある,It carries passengers and Move Range holds a hex from which they can be unloaded next to a base
manual.ai.raid.rule9.act,拠点に最も近いマスへ動き、たどり着ける乗員を降ろす,"Move to the hex closest to the base and unload whichever passengers can reach it"
manual.ai.raid.rule10.cond,移動範囲に、同じ部隊で空きのある輸送があり、便乗のほうが早い,"A transport of the same squad with room is in Move Range, and the ride is faster"
manual.ai.raid.rule10.act,その輸送へ動いて乗る,Move onto that transport and board
manual.ai.raid.rule11.cond,移動距離が測れる、自分の陣営以外の拠点がある,A base not its own has a measurable Move Distance
manual.ai.raid.rule11.act,移動距離が最小の拠点へ最大前進する,Advance fully toward the nearest such base by Move Distance
manual.ai.raid.rule12.cond,地形距離が測れる、自分の陣営以外の拠点がある,A base not its own has a measurable Terrain Distance
manual.ai.raid.rule12.act,地形距離が最小の拠点へ見込前進する,Make a projected advance toward the nearest such base by Terrain Distance
manual.ai.raid.rule13.cond,盤上に自分の陣営以外の拠点がある,There is a base not its own somewhere on the board
manual.ai.raid.rule13.act,盤上距離が最小の拠点へ直線寄せする,Make a straight approach toward the nearest such base by Hex Distance
manual.ai.raid.note1,4〜7行目が経路上の敵に限るのは、目の前の敵を無視して素通りするのがこの特性の圧だから。射程に入っていても道を塞いでいない敵は殴らず、拠点へ歩き続ける。塞がれて前へ進めない駒はこれらの行で殴るので、手が余ることはない。,"Rules 4 to 7 restrict targets to blockers because walking past you is what makes this trait threatening. An enemy in range that is not in the way goes unhit and the unit keeps walking. A unit that is blocked will fight through these rules, so no turn is wasted."
manual.ai.raid.note2,拠点は中立も含む。占領兵でなくても向かう。拠点が複数あるときは駒ごとに最寄りへ向かうので、部隊が途中で分かれることもある。,"Neutral bases count too, and units head for one whether or not they can capture. With several bases on the board each unit picks its own nearest, so a squad can split up on the way."
manual.ai.raid.note3,向かう拠点が盤に無ければ待機する。敵を追わないのが突撃との差で、拠点を全部取られたあとは動かなくなる。,"With no base left to head for it simply waits. Not chasing you is what separates it from Charge — once every base is taken it stops moving altogether."
manual.ai.predator.title,弱者狙い,Predator
manual.ai.predator.desc,前衛を避けて柔らかい敵へ回り込む。硬い敵とは殴り合わない。殴られても獲物へ歩き続けるので、前衛で足止めの帯を張って止めることになる。後衛を守れ、という圧をかける特性。,"Slips around your front line to get at something soft, and refuses to trade blows with anything hard. It keeps walking toward its prey even while being hit, so the way to stop it is a belt of zones of control. Its whole purpose is to make you defend your back rank."
manual.ai.predator.start,行動開始条件,Activation
manual.ai.predator.start1,視線距離が索敵範囲以内に獲物がいる／部隊の誰かが動き出している,Prey is within Sight by Sight Distance / a squadmate has already woken
manual.ai.predator.rules,行動ルール,Action Rules
manual.ai.predator.rule1.cond,占領兵で、移動範囲に自分の陣営以外の拠点がある,It can capture and there is a base not its own in Move Range
manual.ai.predator.rule1.act,盤上距離が最小の拠点へ移動して占領する,Move to the nearest base by Hex Distance and capture it
manual.ai.predator.rule2.cond,スキルを持っていて、スキル射程内に stack 条件を満たす対象がいる,It has a skill and a target meeting the stack condition is in range
manual.ai.predator.rule2.act,防御力が最小の対象にスキルを掛ける,Cast on the target with the lowest Defense
manual.ai.predator.rule3.cond,間接攻撃できる駒で、いまの位置から仕留められる敵がおらず、移動範囲のどこかから狙う獲物を撃てる,"It can attack at range, has no lethal target from where it stands, and its chosen prey is attackable from somewhere in Move Range"
manual.ai.predator.rule3.act,狙う獲物へ最大間合いを取る,Take Max Standoff against the chosen prey
manual.ai.predator.rule4.cond,攻撃射程内に獲物がいる,Prey is within attack range
manual.ai.predator.rule4.act,攻撃後の残兵が最小となる獲物を攻撃する,Attack whichever prey would be left with the least strength
manual.ai.predator.rule5.cond,攻撃射程内に仕留められる敵がいる,A lethal target is within attack range
manual.ai.predator.rule5.act,反撃されない敵を優先し、その中で盤上距離が最小の敵を攻撃する,"Prefer those that cannot counter, then attack the nearest by Hex Distance"
manual.ai.predator.rule6.cond,狙う獲物への迂回距離が測れる,The chosen prey has a measurable Detour Distance
manual.ai.predator.rule6.act,狙う獲物へ回り込む,Flank toward the chosen prey
manual.ai.predator.rule7.cond,狙う獲物への移動距離が測れる,The chosen prey has a measurable Move Distance
manual.ai.predator.rule7.act,狙う獲物へ最大前進する,Advance fully toward the chosen prey
manual.ai.predator.rule8.cond,狙う獲物への地形距離が測れる,The chosen prey has a measurable Terrain Distance
manual.ai.predator.rule8.act,狙う獲物へ見込前進する,Make a projected advance toward the chosen prey
manual.ai.predator.rule9.cond,索敵範囲内に獲物がいる,Prey is within Sight
manual.ai.predator.rule9.act,狙う獲物へ直線寄せする,Make a straight approach toward the chosen prey
manual.ai.predator.note1,狙う獲物は、索敵範囲内の獲物のうち移動距離が最小のもの。測れる獲物が1体もいなければ盤上距離が最小のもの。3行目と6〜9行目はどれもこの1体へ向かうので、行の間で行き先が入れ替わらない。,"The chosen prey is whichever prey within Sight is nearest by Move Distance, or by Hex Distance if none can be measured. Rule 3 and rules 6 to 9 all head for that same unit, so the destination never flips between rules."
manual.ai.predator.note2,止まり方が2つある。眠りから覚めるのは一度きりだが、起きたあとに獲物が視線から消えると前進だけが止まる（攻撃とスキルは続く）。後衛を下げる・前衛で視線を切る、で足を止められる。,"There are two ways to stop it. Waking is permanent, but once awake it stops advancing whenever prey leaves its sight, though it keeps attacking and casting. Pulling your back rank away or screening it with your front line halts its advance."
manual.ai.swarm.title,群れ,Swarm
manual.ai.swarm.desc,傷ついた敵へ集まる。手負いには単独でも噛みつくが、そうでない相手には頭数が揃ってからしか手を出さない。削られた駒を下げるかどうかの判断を迫る特性。1体だけ残ると包囲が成立せず膠着する。,"Gathers on whatever is hurt. It will bite a wounded unit alone, but it will not touch a healthy one until it has the numbers. It forces you to decide whether to pull a damaged unit back. A lone survivor cannot form an encirclement, so it stalls."
manual.ai.swarm.start,行動開始条件,Activation
manual.ai.swarm.start1,常時（最初から動いている）,Always — active from the first turn.
manual.ai.swarm.rules,行動ルール,Action Rules
manual.ai.swarm.rule1.cond,間接攻撃できる駒で、移動範囲のどこかから手負いを撃てる,It can attack at range and the wounded enemy is attackable from somewhere in Move Range
manual.ai.swarm.rule1.act,手負いへ最大間合いを取る,Take Max Standoff against the wounded enemy
manual.ai.swarm.rule2.cond,攻撃射程内に手負いがいる,The wounded enemy is within attack range
manual.ai.swarm.rule2.act,手負いを攻撃する,Attack the wounded enemy
manual.ai.swarm.rule3.cond,間接攻撃できる駒で、移動範囲のどこかから、自分を除いても包囲可能な敵を撃てる,It can attack at range and some enemy that stays encirclable without it is attackable from somewhere in Move Range
manual.ai.swarm.rule3.act,損耗が最大のその敵へ最大間合いを取る,Take Max Standoff against the one with the most attrition
manual.ai.swarm.rule4.cond,攻撃射程内に、stack 条件を満たさない包囲可能な敵がいる,An encirclable enemy that no longer meets the stack condition is within attack range
manual.ai.swarm.rule4.act,損耗が最大の敵を攻撃する,Attack the one with the most attrition
manual.ai.swarm.rule5.cond,スキルを持っていて、スキル射程内に stack 条件を満たす対象がいる（敵に掛けるスキルは包囲可能な相手だけ）,It has a skill and a target meeting the stack condition is in range — for skills cast on enemies only encirclable ones count
manual.ai.swarm.rule5.act,損耗が最大の対象にスキルを掛ける,Cast on the one with the most attrition
manual.ai.swarm.rule6.cond,攻撃射程内に包囲可能な敵がいる,An encirclable enemy is within attack range
manual.ai.swarm.rule6.act,損耗が最大の敵を攻撃する,Attack the one with the most attrition
manual.ai.swarm.rule7.cond,索敵範囲内の手負いへの移動距離が測れる,The wounded enemy within Sight has a measurable Move Distance
manual.ai.swarm.rule7.act,手負いへ最大前進する,Advance fully toward the wounded enemy
manual.ai.swarm.rule8.cond,索敵範囲内の手負いへの地形距離が測れる,The wounded enemy within Sight has a measurable Terrain Distance
manual.ai.swarm.rule8.act,手負いへ見込前進する,Make a projected advance toward the wounded enemy
manual.ai.swarm.rule9.cond,移動距離が測れる敵がいる,Some enemy has a measurable Move Distance
manual.ai.swarm.rule9.act,移動距離が最小の敵へ最大前進する,Advance fully toward the nearest by Move Distance
manual.ai.swarm.rule10.cond,地形距離が測れる敵がいる,Some enemy has a measurable Terrain Distance
manual.ai.swarm.rule10.act,地形距離が最小の敵へ見込前進する,Make a projected advance toward the nearest by Terrain Distance
manual.ai.swarm.rule11.cond,盤上に攻撃できる敵がいる,There is some attackable enemy on the board
manual.ai.swarm.rule11.act,盤上距離が最小の敵へ直線寄せする,Make a straight approach toward the nearest by Hex Distance
manual.ai.swarm.note1,2行目だけ包囲を条件にしない。手負いには単独でも噛みつく。誰も傷ついていないターンはいちばん近い敵が手負いになるので、そこで最初の一噛みが起きる。以後はその相手が損耗最大であり続け、群れが集まる。,"Rule 2 alone does not require an encirclement — a wounded unit gets bitten by a single attacker. On a turn when nobody is hurt the nearest enemy counts as wounded, which is where the first bite comes from. After that the same unit stays the most worn down and the swarm converges on it."
manual.ai.swarm.note2,拠点は取らない。占領兵を混ぜても拠点へは向かわない。,"It does not take bases. Mixing in a unit that can capture will not send it toward one."
manual.ai.flee.title,逃走,Flee
manual.ai.flee.desc,戦わずに拠点へ走る。元気なら敵の拠点、削られたら自分の陣営の拠点へ逃げて回復する。足止め範囲には入らないので、正面から追っても捕まらない。回り込んで挟むか、足止めの帯で逃げ道を塞ぐことになる。,"Runs for a base instead of fighting — an enemy base while healthy, one of its own to heal once worn down. It refuses to enter a zone of control, so chasing it head-on never catches it. You have to cut it off or seal the route with a belt."
manual.ai.flee.start,行動開始条件,Activation
manual.ai.flee.start1,常時（最初から動いている）,Always — active from the first turn.
manual.ai.flee.rules,行動ルール,Action Rules
manual.ai.flee.rule1.cond,占領兵で、移動範囲に自分の陣営以外の拠点がある,It can capture and there is a base not its own in Move Range
manual.ai.flee.rule1.act,盤上距離が最小の拠点へ移動して占領する,Move to the nearest base by Hex Distance and capture it
manual.ai.flee.rule2.cond,損耗が撤退閾値以上で、自分の陣営の拠点hexにいる,Attrition is at or past the Retreat Threshold and it stands on a base hex of its own side
manual.ai.flee.rule2.act,拠点に入る,Enter the base
manual.ai.flee.rule3.cond,損耗が撤退閾値以上で、迂回距離が測れる自分の陣営の拠点がある,Attrition is at or past the Retreat Threshold and a base of its own side has a measurable Detour Distance
manual.ai.flee.rule3.act,迂回距離が最小の拠点へ回り込む,Flank toward the nearest such base by Detour Distance
manual.ai.flee.rule4.cond,損耗が撤退閾値未満で、迂回距離が測れる自分の陣営以外の拠点がある,Attrition is below the Retreat Threshold and a base not its own has a measurable Detour Distance
manual.ai.flee.rule4.act,迂回距離が最小の拠点へ回り込む,Flank toward the nearest such base by Detour Distance
manual.ai.flee.note1,攻撃の行を持たない。自分からは仕掛けないが、殴られたときの反撃は起きる。スキルも撃たない。,"It has no attack rule at all. It never initiates, though it still counters when struck, and it never casts."
manual.ai.flee.note2,移動はすべて回り込み＝敵の足止め範囲を避けて走る。全方位を足止めで塞げば足が止まり、道が見つからなければ待機する。拠点へ逃げ込まれると回復されて振り出しなので、どこで仕留めるかの判断が生まれる。,"Every move is a flank, running clear of your zones of control. Seal every direction and it stops; with no route left it waits. Let it reach a base and it heals back to full, which is what makes deciding where to finish it a real question."
manual.ai.withdraw.title,撤退,Withdraw
manual.ai.withdraw.desc,突撃と同じく前へ出るが、削られたら拠点へ退いて回復し、また出てくる。削りきる前に逃がすと振り出しに戻るので、深追いして仕留めるか、追うのをやめて盤の別の場所を取るかを選ぶことになる。,"Pushes forward like Charge, but once worn down it pulls back to a base, heals and comes out again. Letting it go before you finish it undoes your work, so you choose between chasing it down and spending those turns elsewhere on the board."
manual.ai.withdraw.start,行動開始条件,Activation
manual.ai.withdraw.start1,常時（最初から動いている）,Always — active from the first turn.
manual.ai.withdraw.rules,行動ルール,Action Rules
manual.ai.withdraw.rule1.cond,占領兵で、移動範囲に自分の陣営以外の拠点がある,It can capture and there is a base not its own in Move Range
manual.ai.withdraw.rule1.act,盤上距離が最小の拠点へ移動して占領する,Move to the nearest base by Hex Distance and capture it
manual.ai.withdraw.rule2.cond,損耗が撤退閾値以上で、自分の陣営の拠点hexにいる,Attrition is at or past the Retreat Threshold and it stands on a base hex of its own side
manual.ai.withdraw.rule2.act,拠点に入る,Enter the base
manual.ai.withdraw.rule3.cond,損耗が撤退閾値以上で、移動距離が測れる自分の陣営の拠点がある,Attrition is at or past the Retreat Threshold and a base of its own side has a measurable Move Distance
manual.ai.withdraw.rule3.act,移動距離が最小の拠点へ最大前進する,Advance fully toward the nearest such base by Move Distance
manual.ai.withdraw.rule4.cond,スキルを持っていて、スキル射程内に stack 条件を満たす対象がいる,It has a skill and a target meeting the stack condition is in range
manual.ai.withdraw.rule4.act,盤上距離が最小の対象にスキルを掛ける,Cast on the nearest such target by Hex Distance
manual.ai.withdraw.rule5.cond,間接攻撃できる駒で、移動範囲のどこかから攻撃できる敵がいる,It can attack at range and some enemy is attackable from somewhere in Move Range
manual.ai.withdraw.rule5.act,空敵を優先し、その中で盤上距離が最小の敵へ最大間合いを取る,"Prefer air targets, then take Max Standoff against the nearest by Hex Distance"
manual.ai.withdraw.rule6.cond,攻撃射程内に仕留められる空敵がいる,A lethal air target is within attack range
manual.ai.withdraw.rule6.act,反撃されない敵を優先し、その中で盤上距離が最小の敵を攻撃する,"Prefer those that cannot counter, then attack the nearest by Hex Distance"
manual.ai.withdraw.rule7.cond,攻撃射程内に空敵がいる,An air target is within attack range
manual.ai.withdraw.rule7.act,反撃されない敵を優先し、その中で盤上距離が最小の敵を攻撃する,"Prefer those that cannot counter, then attack the nearest by Hex Distance"
manual.ai.withdraw.rule8.cond,攻撃射程内に仕留められる敵がいる,A lethal target is within attack range
manual.ai.withdraw.rule8.act,反撃されない敵を優先し、その中で盤上距離が最小の敵を攻撃する,"Prefer those that cannot counter, then attack the nearest by Hex Distance"
manual.ai.withdraw.rule9.cond,攻撃射程内に敵がいる,An enemy is within attack range
manual.ai.withdraw.rule9.act,反撃されない敵を優先し、その中で盤上距離が最小の敵を攻撃する,"Prefer those that cannot counter, then attack the nearest by Hex Distance"
manual.ai.withdraw.rule10.cond,移動距離が測れる敵がいる,Some enemy has a measurable Move Distance
manual.ai.withdraw.rule10.act,空敵を優先し、その中で移動距離が最小の敵へ最大前進する,"Prefer air targets, then advance fully toward the nearest by Move Distance"
manual.ai.withdraw.rule11.cond,地形距離が測れる敵がいる,Some enemy has a measurable Terrain Distance
manual.ai.withdraw.rule11.act,地形距離が最小の敵へ見込前進する,Make a projected advance toward the nearest by Terrain Distance
manual.ai.withdraw.rule12.cond,盤上に攻撃できる敵がいる,There is some attackable enemy on the board
manual.ai.withdraw.rule12.act,盤上距離が最小の敵へ直線寄せする,Make a straight approach toward the nearest by Hex Distance
manual.ai.withdraw.note1,退く行が攻撃より上にある。攻撃した駒はその時点で手番が終わるので、下に置くと射程に敵がいるかぎり殴り続けて帰らない。上にあることで、下がってから届く敵を撃つ＝背を向けて逃げるのではなく、退きながら撃ち返す動きになる。,"The withdrawing rules sit above the attacking ones. Attacking ends the turn, so placed lower they would never fire while any enemy was in range. Being higher means it pulls back and then shoots whatever it can still reach — retreating while returning fire rather than turning its back."
manual.ai.withdraw.note2,帰り道は敵の足止め範囲を避けない（逃走との差）。足止めの帯を張れば足を止められる。自分の陣営の拠点が盤に無い、道が塞がれている、今ターン距離が縮むマスが無いといった場合は退けず、突撃と同じように戦う。,"Unlike Flee, it does not avoid your zones of control on the way home, so a belt will stop it. If there is no base of its own on the board, the road is blocked, or no hex this turn brings it closer, it cannot withdraw and fights on like Charge."
manual.ai.standoff.title,睨み合い,Standoff
